"asset_owning_dept","project_number","asset_type","asset_subtype","project_name"
"Public Utilities","S00304","Buildings","MWWD - Pump Stations","PS Upgrades Group II County Wide"
"Public Utilities","S00305","Buildings","MWWD - Pump Stations","PS Upgrades Group III Forcemains"
"Public Utilities","S00306","Buildings","MWWD - Pump Stations","PS Upgrades Group IV Comfort Stations"
"Public Utilities","S00316","Buildings","MWWD - Administration Structures","Pt Loma-South Access Road Protection Project"
"Public Utilities","T18001","Intangible Assets","Information Technology","PUD SAP EHS Implementation"
"Public Utilities","ABP00003","Buildings","MWWD - Pump Stations","Pump Station 64,65, Penasquitos, E Mission Gorge"
"Public Utilities","S00307","Buildings","MWWD - Pump Stations","Pump Station 64 Electrical Upgrades"
"Public Utilities","ABP00001","Buildings","MWWD - Pump Stations","Pump Station Restorations"
"Public Utilities","P19002","Potable Reuse (PURE Water)","Potable Reuse (PURE Water)","Pure Water Pooled Contingency"
"Public Utilities","ALA00001","Potable Reuse (PURE Water)","Potable Reuse (PURE Water)","PURE Water Program"
"Public Utilities","S00042","Buildings","Water - Reservoirs/Dams","Rancho Bernardo Reservoir Rehabilitation"
"Public Utilities","S00043","Buildings","Water - Pump Stations","Rancho Penasquitos Water Pump Station #2"
"Public Utilities","ABS00002","Buildings","Operations Facility / Structures","Reclaimed Water Distrib. System CIP Contingencies"
"Public Utilities","AHC00001","Reclaimed Water","Pipelines","Reclaimed Water Extension"
"Public Utilities","AHC00003","Reclaimed Water","Pipelines","Reclaimed Water Retrofit"
"Public Utilities","AHC00004","Reclaimed Water","Pipelines","Recycled Water Systems Upgrades"
"Public Utilities","S10010","Reclaimed Water","Pipelines","Recycled Water System Upgrades"
"Public Utilities","S12014","Reclaimed Water","Reservoirs","Recycled Water Tank Modifications"
"Public Utilities","S00038","Buildings","Water - Pump Stations","San Diego 17 Flow Control Facility"
"Public Utilities","S00026","Buildings","Water - Treatment Plants","San Diego 24 Flow Control Facility"
"Public Utilities","S00073","Reclaimed Water","Pipelines","SBRWS - Mag Meter Assembly Project"
"Public Utilities","S00310","Buildings","MWWD - Treatment Plants","SBWR Plant Demineralization"
"Public Utilities","S12019","Buildings","Water - Pump Stations","Scripps Ranch Pump Station"
"Public Utilities","AKB00004","Water","Distribution System - Distribution","Seismic Upgrades"
"Public Utilities","S00342","Buildings","MWWD - Treatment Plants","Sewer CIP Emergency Reserve"
"Public Utilities","AJA00001","Wastewater","Collection System - Main","Sewer Main Replacements"
"Public Utilities","S00337","Buildings","MWWD - Pump Stations","Sewer Pump Station 41 Rehabilitation"
"Public Utilities","S00338","Buildings","MWWD - Pump Stations","Sewer Pump Station 79"
"Public Utilities","S00333","Wastewater","Collection System - Trunk Sewer","Sorrento Vly Trunk Swr Rep & Swr Pump Station 89"
"Public Utilities","S00018","Reclaimed Water","Pipelines","South Bay Reclamation System"
"Public Utilities","S00066","Water","Distribution System - Transmission","South County Raw  Water Reservoir Intertie Study"
"Public Utilities","S00317","Wastewater","Collection System - Interceptor","South Metro Sewer Rehabilitation Ph 3B"
"Public Utilities","S00302","Wastewater","Collection System - Trunk Sewer","South Mission Valley Trunk Sewer"
"Public Utilities","ABL00001","Buildings","Water - Standpipes","Standpipe and Reservoir Rehabilitations"
"Public Utilities","S15020","Wastewater","Collection System - Trunk Sewer","Tecolote Canyon Trunk Sewer Improvement"
"Public Utilities","S00046","Water","Distribution System - Distribution","Telemetry Control Systems SCADA Phase II"
"Public Utilities","S12040","Buildings","Water - Pump Stations","Tierrasanta (Via Dominique) Pump Station"
"Public Utilities","S00004","Water","Distribution System - Transmission","Torrey Pines/La Jolla Blvd Phase 3B"
"Public Utilities","S00003","Water","Distribution System - Transmission","Torrey Pines Rd/La Jolla Blvd Main Repl"
"Public Utilities","S11021","Water","Distribution System - Distribution","University Ave Pipeline Replacement"
"Public Utilities","S20002","Buildings","Water - Reservoirs/Dams","University Heights Reservoir Rehabilitation"
"Public Utilities","S17006","Buildings","Water - Standpipes","University Heights Water Tower Seismic Retrofit"
"Public Utilities","AJA00003","Wastewater","Collection System - Main","Unscheduled Projects"
"Public Utilities","S11022","Water","Distribution System - Distribution","Upas St Pipeline Replacement"
"Public Utilities","S00334","Wastewater","Collection System - Trunk Sewer","USIU Trunk Sewer"
"Public Utilities","S00048","Water","Distribution System - Transmission","Water CIP Emergency Reserve"
"Public Utilities","S00050","Buildings","Operations Facility / Structures","Water Department Security Upgrades"
"Public Utilities","S11108","Water","Distribution System - Distribution","Water Group 787"
"Public Utilities","S14020","Water","Distribution System - Distribution","Water Group 787  Final CCO"
"Public Utilities","S10004","Water","Distribution System - Distribution","Water Group Job 790"
"Public Utilities","S10123","Water","Distribution System - Distribution","Water Group Job 915 (3012)"
"Public Utilities","AKB00003","Water","Distribution System - Distribution","Water Main Replacements"
"Public Utilities","ABJ00001","Buildings","Water - Pump Stations","Water Pump Station Restoration"
"Public Utilities","S13015","Water","Distribution System - Distribution","Water & Sewer Group Job 816 (W)"
"Public Utilities","ABI00001","Buildings","Water - Treatment Plants","Water Treatment Plants"
"Public Utilities","S00052","Buildings","MWWD - Treatment Plants","WDSU - Alvarado WTP"
"Public Utilities","S11105","Buildings","Water - Pump Stations","WDSU - Enclosed Pumps - Phase II"
"Public Utilities","S00056","Buildings","Water - Pump Stations","WDSU - Enclosed Pump Stations"
"Public Utilities","S00051","Buildings","MWWD - Treatment Plants","WDSU - Miramar WTP and Reservoir"
"Public Utilities","S00057","Buildings","Water - Pump Stations","WDSU - Non-enclosed Pump Stations"
"Public Utilities","S00053","Buildings","MWWD - Treatment Plants","WDSU - Otay WTP"
"Public Utilities","S00059","Water","Distribution System - Distribution","WDSU - Pipelines (30""& Larger)"
"Public Utilities","S00054","Water","Distribution System - Distribution","WDSU - Regulators"
"Public Utilities","S00055","Buildings","Water - Reservoirs/Dams","WDSU - Reservoirs & Dams"
"Public Utilities","S11106","Buildings","Water - Reservoirs/Dams","WDSU - Reservoirs & Dams - Phase II"
"Public Utilities","S00049","Buildings","Operations Facility / Structures","WDSU - Security Operations Center"
"Public Utilities","S11104","Buildings","Operations Facility / Structures","WDSU - Security Operations Center Ph. II"
"Public Utilities","S00058","Buildings","Water - Standpipes","WDSU - Tank/Standpipe Reservoirs"
"Public Utilities","S11107","Buildings","Water - Standpipes","WDSU - Water Tanks & Standpipes - Ph II"
"Public Utilities","S00314","Buildings","MWWD - Administration Structures","Wet Weather Storage Facility"
"Public Works - General Services","S01093","Buildings","Other City Facility / Structures","Barrio Youth Facilities - ADA Improvements"
"Public Works - General Services","S01029","Buildings","Other City Facility / Structures","Beach Area Family Health Care"
"Public Works - General Services","S00819","Buildings","Other City Facility / Structures","CAB Fire Sprinkler Retrofit Project"
"Public Works - General Services","ABT00001","Buildings","Other City Facility / Structures","City Facilities Improvements"
"Public Works - General Services","ABT00005","Buildings","Other City Facility / Structures","Environmental Services Facilities Improvements"
"Public Works - General Services","S10042","Buildings","Operations Facility / Structures","Fitting Facility Expansion"
"Public Works - General Services","S00897","Buildings","Other City Facility / Structures","La Jolla Parking Structure"
"Public Works - General Services","S11023","Buildings","Other City Facility / Structures","MOC Building"
"Public Works - General Services","S00697","Buildings","Other City Facility / Structures","Modernization of Elevators - City Admin Building"
"Public Works - General Services","S00698","Buildings","Other City Facility / Structures","Modernization of Elevators - Evan B. Jones Parkade"
"Public Works - General Services","S10020","Buildings","Other City Facility / Structures","North Crown Point Gazebo Replacement"
"Public Works - General Services","S00620","Buildings","Other City Facility / Structures","Palisades Building Ramp - ADA Improvements"
"Public Works - General Services","S18003","Buildings","Other City Facility / Structures","Palm Avenue Transitional Housing"
"Public Works - General Services","S01053","Buildings","Other City Facility / Structures","San Diego Automotive Museum"
"Public Works - General Services","S01025","Buildings","Other City Facility / Structures","The World Beat Center"
"Real Estate Assets","S11034","Buildings","Other City Facility / Structures","Evan V. Jones Parkade Parking Equipment Upgrade"
"Stadium","S16025","Buildings","Stadium Facilities","Stadium Reconstruction"
"Transportation & Storm Water","S10098","Transportation","Signals - Traffic Signals","04 Traffic Count Station-Var. Locations"
"Transportation & Storm Water","S00985","Transportation","Signals - Calming/Speed Abatement","25th Street Renaissance Project"
"Transportation & Storm Water","S00922","Transportation","Ped Facilities - Sidewalks","34th & 35th @ Madison Ave Improvements"
"Transportation & Storm Water","S11001","Drainage","Storm Drain Pipes","34th Street Storm Drain"
"Transportation & Storm Water","S00930","Transportation","Roadway","38th Street Improvements"
"Transportation & Storm Water","S00845","Transportation","Roadway","43rd St fr Logan to I805 St Widening"
"Transportation & Storm Water","S12023","Transportation","Ped Facilities - Sidewalks","50th/53rd & Meade Colina Park Sidewalks"
"Transportation & Storm Water","S00956","Transportation","Bicycle Facilities","54th Street/Euclid Ave Bikeways"
"Transportation & Storm Water","P21001","Transportation","Roadway - Enhance/Scape/Medians","5th Avenue Promenade"
"Transportation & Storm Water","S00926","Drainage","Channels","62nd to 65th Street Channel Improvements"
"Transportation & Storm Water","S11061","Transportation","Ped Facilities - Curb Ramps","ADA Walkway & Curb Ramp at Azalea Park"
"Transportation & Storm Water","P19007","Transportation","Roadway - Widening/Reconfiguration","Airway Road Improvements"
"Transportation & Storm Water","S16043","Transportation","Roadway - Widening/Reconfiguration","Airway Road Improvements"
"Transportation & Storm Water","S00865","Transportation","Roadway - Erosion/Slope/Ret Wall","Aldine & Fairmount Dr Slope Restoration"
"Transportation & Storm Water","S12024","Transportation","Ped Facilities - Sidewalks","Altadena/52nd Colina Park Sidewalks"
"Transportation & Storm Water","S10001","Drainage","Storm Drain Pipes","Alta La Jolla Drive Drainage Repair PhII"
"Transportation & Storm Water","S00894","Transportation","Roadway","Alvarado Canyon Road Realignment"
"Transportation & Storm Water","P18007","Transportation","Roadway","Alvarado Road Realignment"
"Transportation & Storm Water","AII00001","Transportation","Ped Facilities - Accessibility Improvements","Architectural Barrier Removal - DIF Funded"
"Transportation & Storm Water","S01024","Transportation","Ped Facilities - Accessibility Improvements","Audible Pedestrian Signal CW"
"Transportation & Storm Water","S01027","Transportation","Ped Facilities - Accessibility Improvements","Audible Pedestrian Signals"
"Transportation & Storm Water","S01033","Transportation","Ped Facilities - Accessibility Improvements","Audible Pedestrian Signals - Citywide"
"Transportation & Storm Water","S13018","Drainage","Storm Drain Pipes","Avenida de la Playa Infrastructure-SD"
"Transportation & Storm Water","S00699","Transportation","Roadway - Enhance/Scape/Medians","Azalea Park Artistic Enhancement"
"Transportation & Storm Water","S00706","Transportation","Roadway","Balboa Ave Corridr Study btwn I805 & I15"
"Transportation & Storm Water","S10047","Transportation","Roadway","Balboa Ave/Hathaway St Left Turn Lane Installation"
"Transportation & Storm Water","S00831","Transportation","Roadway - Enhance/Scape/Medians","Balboa Avenue Corridor Improvements"
"Transportation & Storm Water","S00957","Transportation","Bicycle Facilities","Balboa Ave/Tierrasanta Blvd Bikeway"
"Transportation & Storm Water","S10087","Parks","Miscellaneous Parks","Balboa Park/Morley Field Evaluate & Repair Drain"
"Transportation & Storm Water","S01064","Drainage","Storm Drain Pipes","Balboa Pk/Florida Cyn Storm Drain Repair"
"Transportation & Storm Water","S00944","Transportation","Bicycle Facilities","Bayshore Bikeway"
"Transportation & Storm Water","S00603","Drainage","Best Management Practices (BMPs)","Beach Area Low Flow Storm Drain Diversion"
"Transportation & Storm Water","S10093","Transportation","Roadway - Erosion/Slope/Ret Wall","Bear Drive Retaining Wall"
"Transportation & Storm Water","S11044","Transportation","Roadway","Berger Ave Sidewalk & Curb Ramps"
"Transportation & Storm Water","S11040","Transportation","Signals - Traffic Signals","Bernardo Trail Dr & Pomerado Rd TS"
"Transportation & Storm Water","S15041","Transportation","Roadway","Beta Street Green Alley"
"Transportation & Storm Water","S11058","Transportation","Signals - Traffic Signals","Bicycle Loop Detectors"
"Transportation & Storm Water","S00948","Transportation","Bicycle Facilities","Bicycle Master Plan"
"Transportation & Storm Water","S00953","Transportation","Bicycle Facilities","Bicycle Parking at the Border"
"Transportation & Storm Water","S00725","Transportation","Signals - Calming/Speed Abatement","Bird Rock Coastal Traffic Flow Improvements"
"Transportation & Storm Water","S00896","Transportation","Roadway - Enhance/Scape/Medians","Bird Rock Coastal Traffic Improvements Phase I"
"Transportation & Storm Water","S00940","Transportation","Bridge - Vehicular","Bridge Preventative Maintenance Program"
"Transportation & Storm Water","AIE00001","Transportation","Roadway - GRails/BRails/Safety","Bridge Rehabilitation"
"Transportation & Storm Water","AID00007","Transportation","Roadway","Bus Stop Improvements"
"Transportation & Storm Water","S10058","Transportation","Ped Facilities - Sidewalks","Caliente Avenue Sidewalk"
"Transportation & Storm Water","RD11003","Transportation","Roadway","Cam Del Sur Widening-San Dieguito Rd-Pso Del Sur"
"Transportation & Storm Water","S10012","Transportation","Ped Facilities - Sidewalks","Camino de la Plaza Sidewalk & Rd Widen"
"Transportation & Storm Water","S00701","Transportation","Roadway - Enhance/Scape/Medians","Cmno De La Plaza Streetscape Improvement"
"Transportation & Storm Water","S11047","Transportation","Bridge - Pedestrian","Camino Del Norte Sidewalk"
"Transportation & Storm Water","RD15000","Transportation","Roadway","Camino Del Sur - 2 Lns (T Sta Fe to Carmel Mtn Rd)"
"Transportation & Storm Water","RD11000","Transportation","Roadway","Camino Del Sur (Bernardo Lks/Lone Quail)"
"Transportation & Storm Water","S00710","Transportation","Roadway","Camino Del Sur-San Dieguito Rd to Carmel Valley Rd"
"Transportation & Storm Water","S00843","Transportation","Roadway","Camino Del Sur-Santaluz / Resort Wildlife Crossing"
"Transportation & Storm Water","S00842","Transportation","Roadway","Camino Del Sur-Santaluz to Camino Del Norte"
"Transportation & Storm Water","S00899","Transportation","Roadway","Camino Del Sur-SR 56 to Carmel Valley Road"
"Transportation & Storm Water","S00872","Transportation","Roadway","Camino Del Sur-SR-56 to Dormouse"
"Transportation & Storm Water","RD19002","Transportation","Roadway","Camino del Sur Widening (CV Rd S. to SR-56)"
"Transportation & Storm Water","RD19005","Transportation","Roadway","Camino del Sur Widening (San Dieguito Rd to Paseo"
"Transportation & Storm Water","S01018","Transportation","Roadway","Camino Ruiz from n/o of Reagan to Jade Coast"
"Transportation & Storm Water","S10041","Transportation","Roadway - Enhance/Scape/Medians","Camino Ruiz Median Improvements"
"Transportation & Storm Water","S00898","Transportation","Roadway","Camino Santa Fe-Del Mar Mesa Road to SR 56"
"Transportation & Storm Water","S00969","Transportation","Bicycle Facilities","Carmel Country Road Low Flow Channel"
"Transportation & Storm Water","S00846","Transportation","Roadway","Carmel Mountain Rd to Del Mar Mesa Rd"
"Transportation & Storm Water","RD15002","Transportation","Roadway","Carmel Mountain Road (T-5.2)"
"Transportation & Storm Water","S00900","Transportation","Roadway","Carmel Valley Rd 4/6 Lanes s of Street A"
"Transportation & Storm Water","S00859","Transportation","Roadway - Enhance/Scape/Medians","Carmel Valley Road Enhancement Project"
"Transportation & Storm Water","S00906","Transportation","Roadway","Carmel Val Rd-Del Mar Hts-Lopelia Mdws"
"Transportation & Storm Water","S00934","Transportation","Roadway","Carmel Val Rd-Lopelia Mdws-Via Abertura"
"Transportation & Storm Water","S00854","Transportation","Roadway","Carmel Val Rd-Via Albutura-Camin Del Sur"
"Transportation & Storm Water","RD15001","Transportation","Roadway","Carmel Vly Rd Widening(Camino Del Sur to Blk MtnRd"
"Transportation & Storm Water","S01019","Transportation","Roadway","Carroll Canyon Rd-I-15 to  Maya Linda Rd"
"Transportation & Storm Water","S00841","Transportation","Bridge - Vehicular","Carroll Cyn Rd/Sorrento Valley Rd Dist 1"
"Transportation & Storm Water","S00741","Transportation","Ped Facilities - Sidewalks","Central Elementary School-Safe Route to School"
"Transportation & Storm Water","S00895","Transportation","Ped Facilities - Sidewalks","Centre City Intersection Improvements"
"Transportation & Storm Water","S00921","Transportation","Ped Facilities - Sidewalks","Cherokee Street Improvements"
"Transportation & Storm Water","S00733","Transportation","Bicycle Facilities","Cherokee Traffic Calming"
"Transportation & Storm Water","P20002","Transportation","Roadway","Citrus & Conifer Reconstruction"
"Transportation & Storm Water","S18009","Transportation","Ped Facilities - Sidewalks","City Heights Pedestrian Imp Phase 2"
"Transportation & Storm Water","S15044","Transportation","Ped Facilities - Sidewalks","City Heights Pedestrian Improvements"
"Transportation & Storm Water","S19005","Transportation","Ped Facilities - Sidewalks","City Heights Sidewalks and Streetlights"
"Transportation & Storm Water","AIF00001","Transportation","Roadway - Erosion/Slope/Ret Wall","Coastal Erosion Affecting City Streets"
"Transportation & Storm Water","S00951","Transportation","Bicycle Facilities","Coastal Rail Trail"
"Transportation & Storm Water","S00723","Transportation","Roadway - Erosion/Slope/Ret Wall","Coast Blvd Bluff Stabilization"
"Transportation & Storm Water","S12025","Transportation","Roadway - Street Lighting","Colina Park Neighborhood Street Lights"
"Transportation & Storm Water","S11050","Transportation","Ped Facilities - Curb Ramps","College Area Obstructed Curb Ramp Barrier Removal"
"Transportation & Storm Water","AID00004","Transportation","Roadway","Community Sign Installation at Various Locations"
"Transportation & Storm Water","AID00006","Transportation","Roadway","Concrete Streets"
"Transportation & Storm Water","S11037","Transportation","Bicycle Facilities","Congress Street Bicycle Facility"
"Transportation & Storm Water","S11038","Transportation","Bicycle Facilities","Congress Street-San Diego Avenue Bicycle Facility"
"Transportation & Storm Water","AID00008","Transportation","Roadway","Consultant Services for Public Facilities"
"Transportation & Storm Water","S11003","Drainage","Storm Drain Pipes","Coolidge Street Storm Drain"
"Transportation & Storm Water","AIL00003","Transportation","Signals - Traffic Signals","Cooperative Traffic Signal Projects"
"Transportation & Storm Water","S00736","Transportation","Bicycle Facilities","Darkwood Canyon Connector Study"
"Transportation & Storm Water","S00883","Transportation","Roadway","Debt Service for Commercial Paper Funded Projects"
"Transportation & Storm Water","S00874","Transportation","Roadway","Debt Service for TransNet Bond Funded Projects"
"Transportation & Storm Water","S00855","Transportation","Roadway","Del Mar Heights Rd n/o Neighborhood 4 Park/School"
"Transportation & Storm Water","S00903","Transportation","Roadway","Del Mar Heights Road-4/6 Lanes"
"Transportation & Storm Water","S00884","Transportation","Roadway - Enhance/Scape/Medians","Del Mar Heights Road Center Median"
"Transportation & Storm Water","S00987","Transportation","Signals - Calming/Speed Abatement","Del Mar Heights Road Flashing Beacon"
"Transportation & Storm Water","S00745","Transportation","Signals - Interconnections","Del Mar Heights Road Interconnect"
"Transportation & Storm Water","S00893","Transportation","Roadway","Del Mar Mesa Public Facilities"
"Transportation & Storm Water","S00858","Transportation","Roadway","Del Sol Boulevard-Central"
"Transportation & Storm Water","S10018","Transportation","Roadway","Dennery Road East"
"Transportation & Storm Water","S00979","Transportation","Roadway","Desert View Drive Alley (528050)"
"Transportation & Storm Water","S00835","Transportation","Ped Facilities - Sidewalks","District Three Sidewalk Study"
"Transportation & Storm Water","ACA00001","Drainage","Storm Drain Pipes","Drainage Projects"
"Transportation & Storm Water","S00848","Transportation","Roadway","Eastgate Mall-Towne Centre to Miramar Road"
"Transportation & Storm Water","S00824","Transportation","Roadway - Street Lighting","El Cajon Blvd Commercial Revitalization"
"Transportation & Storm Water","S00981","Transportation","Bicycle Facilities","El Camino Real/SR 56 Bike Path Connector"
"Transportation & Storm Water","S00856","Transportation","Bridge - Vehicular","El Camino Real to ViaDeLaValle (1/2 mile)"
"Transportation & Storm Water","S00916","Transportation","Roadway","El Camino Real Widening"
"Transportation & Storm Water","S00716","Transportation","Roadway","El Cuervo Norte Wetland Mitigation"
"Transportation & Storm Water","S01037","Transportation","Roadway - Street Lighting","Eligible Street Lights in District 7"
"Transportation & Storm Water","S01036","Transportation","Roadway - Street Lighting","Eligible Street Lights in District 8"
"Transportation & Storm Water","S00904","Transportation","Roadway","Euclid Avenue Corridor Improvements"
"Transportation & Storm Water","S00886","Transportation","Roadway","Euclid Avenue & Home Improvements"
"Transportation & Storm Water","S00610","Flood Control Systems","Flood Control Systems","Fashion Valley Road Restoration"
"Transportation & Storm Water","S00862","Transportation","Bridge - Vehicular","First Avenue Bridge Over Maple Canyon"
"Transportation & Storm Water","S00988","Transportation","Signals - Calming/Speed Abatement","Five Points Neighborhood Pedestrian Impr"
"Transportation & Storm Water","AID00003","Transportation","Roadway","Five Year CIP Planning"
"Transportation & Storm Water","S10061","Transportation","Signals - Calming/Speed Abatement","Florence Griffith Joyner Elementary SR2S"
"Transportation & Storm Water","S11057","Transportation","Roadway - Enhance/Scape/Medians","Florida Drive Median Improvements"
"Transportation & Storm Water","S11055","Transportation","Roadway","Fourth Avenue and Quince Street"
"Transportation & Storm Water","S11056","Transportation","Ped Facilities - Accessibility Improvements","Fourth Avenue/Fifth Avenue & Nutmeg St"
"Transportation & Storm Water","S00947","Transportation","Bicycle Facilities","Friars Road/Pacific Highway Bicycle Path"
"Transportation & Storm Water","S12030","Transportation","Roadway","FY12 Asphalt Overlay Group I"
"Transportation & Storm Water","S12031","Transportation","Roadway","FY12 Asphalt Overlay Group II"
"Transportation & Storm Water","S00866","Transportation","Roadway","Genesee Avenue I-5 to Eastgate Mall"
"Transportation & Storm Water","S00840","Transportation","Roadway","Genesee Avenue-I-5 to Regents Road"
"Transportation & Storm Water","S00852","Transportation","Roadway - Enhance/Scape/Medians","Genesee Avenue-Nobel Dr to SR 52"
"Transportation & Storm Water","S00839","Transportation","Bridge - Vehicular","Genesee Avenue Widen I-5 Crossing"
"Transportation & Storm Water","S00863","Transportation","Bridge - Vehicular","Georgia Street Bridge Improvements"
"Transportation & Storm Water","S11039","Transportation","Signals - Traffic Signals","Grandee Pl & Pomerado Rd Traffic Signal"
"Transportation & Storm Water","AIE00002","Transportation","Roadway - GRails/BRails/Safety","Guard Rails"
"Transportation & Storm Water","S11002","Drainage","Storm Drain Pipes","Hayes Ave Storm Drain"
"Transportation & Storm Water","AIL00006","Transportation","Signals - Traffic Signals","High Accident Locations"
"Transportation & Storm Water","S00908","Transportation","Ped Facilities - Sidewalks","Hillcrest Corridor Mobility Study"
"Transportation & Storm Water","S11064","Transportation","Roadway","Hillery Drive Improvements"
"Transportation & Storm Water","S10057","Drainage","Storm Drain Pipes","Hinson Place Storm Drain Replacement"
"Transportation & Storm Water","S00980","Transportation","Roadway","Hollister Street Widening"
"Transportation & Storm Water","S11033","Transportation","Roadway","Holly Dr. Street Improvements"
"Transportation & Storm Water","S00735","Transportation","Bicycle Facilities","Hotel Circle South Bike Path"
"Transportation & Storm Water","S00658","Parks","Miscellaneous Parks","I-15 Cut & Cover/Teralta Neighborhood Park"
"Transportation & Storm Water","S00708","Transportation","Roadway","I5/SR56 Fiberoptic Relocation"
"Transportation & Storm Water","S00707","Transportation","Roadway","I5 to SR56 Freeway Connectors"
"Transportation & Storm Water","S11042","Transportation","Roadway","I-805/Home Avenue Ramp Improvements"
"Transportation & Storm Water","S00001","Transportation","Roadway - Enhance/Scape/Medians","Imperial Ave Bus/Trolley Station Enhanc"
"Transportation & Storm Water","S00983","Transportation","Roadway - Street Lighting","Imperial Avenue Streetlights-61st to 69th"
"Transportation & Storm Water","S00967","Transportation","Bicycle Facilities","India Street Improvement Study"
"Transportation & Storm Water","AIH00001","Transportation","Roadway - Street Lighting","Installation of City Owned Street Lights"
"Transportation & Storm Water","AIL00002","Transportation","Signals - Traffic Signals","Install T/S Interconnect Systems"
"Transportation & Storm Water","S00931","Transportation","Roadway","Interstate 15 Improvements"
"Transportation & Storm Water","S00982","Transportation","Bicycle Facilities","Interstate 5 Underpass-Bikeway/Ped Conn"
"Transportation & Storm Water","S00602","Transportation","Roadway","Juan Street Concrete Street"
"Transportation & Storm Water","S00879","Transportation","Roadway","Judicial Drive-Golden Haven to Eastgate Mall"
"Transportation & Storm Water","S10052","Drainage","Storm Drain Pipes","Judy Lee Place Storm Drain Replacement"
"Transportation & Storm Water","S10044","Transportation","Roadway","Kearny Mesa Community Sign"
"Transportation & Storm Water","S00961","Transportation","Bicycle Facilities","Kearny Villa Road Bike Lane Improvements"
"Transportation & Storm Water","S00966","Transportation","Bicycle Facilities","Kearny Villa Road Bike Path Study"
"Transportation & Storm Water","S10154","Transportation","Ped Facilities - Accessibility Improvements","Kelton Road Pedestrian Improvements"
"Transportation & Storm Water","S01028","Transportation","Ped Facilities - Curb Ramps","Labor Council Curb Ramps"
"Transportation & Storm Water","S00607","Drainage","Best Management Practices (BMPs)","La Jolla Ecological Reserve Area of ASBS"
"Transportation & Storm Water","S00928","Transportation","Roadway","La Jolla Mesa Drive Sidewalk"
"Transportation & Storm Water","S00695","Transportation","Roadway","La Jolla Mesa Vista Project UUD"
"Transportation & Storm Water","S00867","Transportation","Roadway - Enhance/Scape/Medians","La Jolla Village Drive and Regents Road"
"Transportation & Storm Water","S00857","Transportation","Bridge - Vehicular","La Jolla Village Drive-I-805 Ramps"
"Transportation & Storm Water","S00850","Transportation","Bridge - Vehicular","La Jolla Village Dr /Torrey Pines - Villa La Jolla"
"Transportation & Storm Water","S15017","Transportation","Roadway","La Jolla Village/I-805 Landscape Maint"
"Transportation & Storm Water","S15018","Transportation","Roadway - Widening/Reconfiguration","La Media Road Improvements"
"Transportation & Storm Water","S00939","Transportation","Bridge - Vehicular","Laurel Street Bridge over SR 163"
"Transportation & Storm Water","S00907","Transportation","Roadway","Linda Vista/Genesee Intersection Improve"
"Transportation & Storm Water","S16040","Transportation","Roadway","Little McGonigle Ranch Road-DM Mesa/SR56"
"Transportation & Storm Water","S01096","Drainage","Best Management Practices (BMPs)","Low Flow Telemetry System"
"Transportation & Storm Water","S11005","Drainage","Storm Drain Pipes","Manhassett Dr Storm Drain System Upgrade"
"Transportation & Storm Water","S20003","Drainage","Channels","Maple Canyon Storm Drain Upgrade"
"Transportation & Storm Water","S10097","Transportation","Signals - Calming/Speed Abatement","Mar Ave/Soledad Avenue Intersection Improvements"
"Transportation & Storm Water","S11043","Transportation","Roadway","Market St -Euclid Ave to 54th St- Improvements"
"Transportation & Storm Water","S16022","Transportation","Ped Facilities - Sidewalks","Market St-Euclid to Pitta-Improvements"
"Transportation & Storm Water","S16061","Transportation","Roadway - Enhance/Scape/Medians","Market Street-47th to Euclid-Complete Street"
"Transportation & Storm Water","S10085","Drainage","Storm Drain Pipes","Marston Point/Balboa Park Storm Drain Repair"
"Transportation & Storm Water","S13020","Transportation","Roadway - Enhance/Scape/Medians","Martin Luther King Jr. Promenade"
"Transportation & Storm Water","S10056","Drainage","Storm Drain Pipes","Maryland Street Storm Drain Replacement"
"Transportation & Storm Water","AIG00001","Transportation","Roadway - Enhance/Scape/Medians","Median Installation"
"Transportation & Storm Water","S00828","Transportation","Roadway - Enhance/Scape/Medians","Mid City Gateways"
"Transportation & Storm Water","S00705","Transportation","Roadway","Midway & Rosecrans Traffic Improvements"
"Transportation & Storm Water","S12005","Transportation","Roadway - Erosion/Slope/Ret Wall","Midway Street Bluff Repair"
"Transportation & Storm Water","AIA00001","Transportation","Bicycle Facilities","Minor Bike Facilities"
"Transportation & Storm Water","AIL00007","Transportation","Signals - Traffic Signals","Minor Signal Improvements"
"Transportation & Storm Water","S00880","Transportation","Roadway","Miramar Road-I-805 Easterly Ramps"
"Transportation & Storm Water","RD16003","Transportation","Signals - Traffic Signals","Mira Mesa Blvd Median/Erma Rd Improvements"
"Transportation & Storm Water","S00847","Transportation","Roadway - Enhance/Scape/Medians","Mira Mesa Community Transit Center"
"Transportation & Storm Water","S00878","Transportation","Roadway","Mira Srnto Pl-Scranton to Vista Sorrento"
"Transportation & Storm Water","S01095","Drainage","Best Management Practices (BMPs)","Mission Bay Sewer Interceptor System"
"Transportation & Storm Water","S00726","Transportation","Ped Facilities - Sidewalks","Mission Beach Boardwalk Bulkhead"
"Transportation & Storm Water","S00860","Transportation","Ped Facilities - Sidewalks","Mission Beach Boardwalk Widening Project"
"Transportation & Storm Water","L14004","Transportation","Ped Facilities - Sidewalks","Mission Beach Brdwalk Bulkhead Phased"
